trade_date,as_of_label,watchlist_rank,symbol,exchange,asset_type,watchlist_score,research_score,previous_close,premarket_last,prev_close_to_premarket_pct,premarket_volume,premarket_trade_count,selected_top20pct,is_eligible_label,eligibility_reason,present_in_eligible,excluded_reason,l1_weight,l1_quantity,l1_limit_buy,l1_take_profit,l1_stop_loss,l1_trailing_stop_pct,l1_trailing_stop_anchor,l2_weight,l2_quantity,l2_limit_buy,l2_take_profit,l2_stop_loss,l2_trailing_stop_pct,l2_trailing_stop_anchor,l3_weight,l3_quantity,l3_limit_buy,l3_take_profit,l3_stop_loss,l3_trailing_stop_pct,l3_trailing_stop_anchor
2026-01-30,15:29:59 Europe/Berlin,2,CATX,AMEX,listed_equity_issue,11.943311,16.442341,4.26,4.68,9.859154929577475,600.0,,True,True,eligible,True,,0.25,536,4.6613,4.7312,4.5867,0.01,4.6147,0.35,754,4.6379,4.7075,4.5637,0.01,4.5915,0.4,869,4.6004,4.6694,4.5268,0.01,4.5544
2026-02-02,15:29:59 Europe/Berlin,1,VHUB,NASDAQ,listed_equity_issue,13.236937,13.236937,11.65,12.95,11.158798283261785,589.0,,False,False,missing_intraday_summary,False,missing_intraday_summary,0.25,193,12.8982,13.0917,12.6918,0.01,12.7692,0.35,272,12.8334,13.0259,12.6281,0.01,12.7051,0.4,314,12.7298,12.9207,12.5261,0.01,12.6025
2026-02-02,15:29:59 Europe/Berlin,2,CISS,NASDAQ,listed_equity_issue,11.504759,15.2408,2.29,2.5,9.170305676855882,1295.0,,True,True,eligible,True,,0.25,1004,2.49,2.5273,2.4502,0.01,2.4651,0.35,1412,2.4775,2.5147,2.4379,0.01,2.4527,0.4,1627,2.4575,2.4944,2.4182,0.01,2.4329
2026-02-04,15:29:59 Europe/Berlin,1,FEED,NASDAQ,listed_equity_issue,23.159661,27.443961,2.72,3.27,20.220588235294112,8293.0,,True,True,eligible,True,,0.25,767,3.2569,3.3058,3.2048,0.01,3.2243,0.35,1080,3.2406,3.2892,3.1888,0.01,3.2082,0.4,1244,3.2144,3.2626,3.163,0.01,3.1823
2026-02-05,15:29:59 Europe/Berlin,1,NIO,NYSE,listed_equity_issue,10.266859,10.833736,4.44,4.77,7.432432432432412,6014.0,,False,True,eligible,True,outside_top20pct_cutoff,0.25,526,4.7509,4.8222,4.6749,0.01,4.7034,0.35,740,4.7271,4.798,4.6515,0.01,4.6798,0.4,853,4.6889,4.7592,4.6139,0.01,4.642
2026-02-06,15:29:59 Europe/Berlin,1,BATL,AMEX,listed_equity_issue,17.087026,18.803934,2.4,2.75,14.583333333333348,2178.0,,True,True,eligible,True,,0.25,912,2.739,2.7801,2.6952,0.01,2.7116,0.35,1284,2.7252,2.7661,2.6816,0.01,2.6979,0.4,1479,2.7033,2.7438,2.66,0.01,2.6763
2026-02-06,15:29:59 Europe/Berlin,2,MARA,NASDAQ,listed_equity_issue,12.595681,13.75399,6.58,7.25,10.182370820668684,1650.0,,True,True,eligible,True,,0.25,346,7.221,7.3293,7.1055,0.01,7.1488,0.35,487,7.1848,7.2926,7.0698,0.01,7.113,0.4,561,7.1267,7.2336,7.0127,0.01,7.0554
2026-02-06,15:29:59 Europe/Berlin,3,OPEN,NASDAQ,listed_equity_issue,10.531136,12.118877,4.44,4.8,8.108108108108091,1700.0,,True,True,eligible,True,,0.25,522,4.7808,4.8525,4.7043,0.01,4.733,0.35,735,4.7568,4.8282,4.6807,0.01,4.7092,0.4,847,4.7184,4.7892,4.6429,0.01,4.6712
2026-02-06,15:29:59 Europe/Berlin,4,LIMN,NASDAQ,listed_equity_issue,7.775976,11.493091,2.07,2.18,5.314009661835772,1916.0,,True,True,eligible,True,,0.25,1151,2.1713,2.2039,2.1366,0.01,2.1496,0.35,1620,2.1604,2.1928,2.1258,0.01,2.1388,0.4,1866,2.1429,2.175,2.1086,0.01,2.1215
2026-02-06,15:29:59 Europe/Berlin,5,KULR,AMEX,listed_equity_issue,7.229339,7.726136,2.69,2.83,5.2044609665427455,500.0,,False,True,eligible,True,outside_top20pct_cutoff,0.25,886,2.8187,2.861,2.7736,0.01,2.7905,0.35,1247,2.8045,2.8466,2.7596,0.01,2.7765,0.4,1437,2.7819,2.8236,2.7374,0.01,2.7541
2026-02-09,15:29:59 Europe/Berlin,1,MNTS,NASDAQ,listed_equity_issue,27.862579,31.068282,6.0,7.54,25.66666666666666,846.0,,True,True,eligible,True,,0.25,332,7.5098,7.6224,7.3896,0.01,7.4347,0.35,468,7.4721,7.5842,7.3525,0.01,7.3974,0.4,539,7.4118,7.523,7.2932,0.01,7.3377
2026-02-09,15:29:59 Europe/Berlin,2,TGNA,NYSE,listed_equity_issue,11.653802,11.864637,19.06,20.75,8.866736621196235,5200.0,,False,True,eligible,True,outside_top20pct_cutoff,0.25,120,20.667,20.977,20.3363,0.01,20.4603,0.35,170,20.5633,20.8717,20.2343,0.01,20.3577,0.4,196,20.3972,20.7032,20.0708,0.01,20.1932
2026-02-10,15:29:59 Europe/Berlin,1,RZLV,NASDAQ,listed_equity_issue,9.576242,11.483347,2.7,2.89,7.037037037037042,2429.0,,True,True,eligible,True,,0.25,868,2.8784,2.9216,2.8323,0.01,2.8496,0.35,1222,2.864,2.907,2.8182,0.01,2.8354,0.4,1408,2.8409,2.8835,2.7954,0.01,2.8125
2026-02-12,15:29:59 Europe/Berlin,1,FSLY,NASDAQ,listed_equity_issue,11.498517,15.424775,12.35,13.49,9.230769230769242,1055.0,,True,True,eligible,True,,0.25,186,13.436,13.6375,13.221,0.01,13.3016,0.35,261,13.3686,13.5691,13.1547,0.01,13.2349,0.4,301,13.2607,13.4596,13.0485,0.01,13.1281
2026-02-13,15:29:59 Europe/Berlin,1,NCI,NASDAQ,listed_equity_issue,20.092505,27.184627,2.19,2.58,17.808219178082197,1110.0,,True,True,eligible,True,,0.25,972,2.5697,2.6082,2.5286,0.01,2.544,0.35,1368,2.5568,2.5952,2.5159,0.01,2.5312,0.4,1577,2.5361,2.5741,2.4955,0.01,2.5107
2026-02-13,15:29:59 Europe/Berlin,2,CRSR,NASDAQ,listed_equity_issue,12.614021,16.626166,5.88,6.48,10.204081632653072,1633.0,,True,True,eligible,True,,0.25,387,6.4541,6.5509,6.3508,0.01,6.3896,0.35,545,6.4217,6.518,6.319,0.01,6.3575,0.4,627,6.3698,6.4653,6.2679,0.01,6.3061
2026-02-17,15:29:59 Europe/Berlin,1,ZIM,NYSE,listed_equity_issue,37.043294,37.747752,22.205,29.97,34.96960144111687,581.0,,True,True,eligible,True,,0.25,83,29.8501,30.2979,29.3725,0.01,29.5516,0.35,117,29.7003,30.1458,29.2251,0.01,29.4033,0.4,135,29.4605,29.9024,28.9891,0.01,29.1659
2026-02-19,15:29:59 Europe/Berlin,1,CDIO,NASDAQ,listed_equity_issue,32.021829,35.233612,2.03,2.63,29.556650246305427,1935.0,,True,True,eligible,True,,0.25,954,2.6195,2.6588,2.5776,0.01,2.5933,0.35,1342,2.6063,2.6454,2.5646,0.01,2.5802,0.4,1547,2.5853,2.6241,2.5439,0.01,2.5594
2026-02-19,15:29:59 Europe/Berlin,2,ENVB,NASDAQ,listed_equity_issue,12.884741,14.550019,2.225,2.46,10.561797752808989,1250.0,,True,True,eligible,True,,0.25,1020,2.4502,2.487,2.411,0.01,2.4257,0.35,1435,2.4379,2.4745,2.3989,0.01,2.4135,0.4,1654,2.4182,2.4545,2.3795,0.01,2.394
2026-02-24,15:29:59 Europe/Berlin,1,LRMR,NASDAQ,listed_equity_issue,29.264323,33.1216,2.82,3.58,26.950354609929093,1216.0,,True,True,eligible,True,,0.25,701,3.5657,3.6192,3.5086,0.01,3.53,0.35,986,3.5478,3.601,3.491,0.01,3.5123,0.4,1136,3.5191,3.5719,3.4628,0.01,3.4839
2026-02-24,15:29:59 Europe/Berlin,2,IOVA,NASDAQ,listed_equity_issue,16.66716,19.439498,2.89,3.31,14.53287197231834,700.0,,True,True,eligible,True,,0.25,758,3.2968,3.3463,3.2441,0.01,3.2638,0.35,1067,3.2802,3.3294,3.2277,0.01,3.2474,0.4,1229,3.2537,3.3025,3.2016,0.01,3.2212
2026-02-25,15:29:59 Europe/Berlin,1,RXRX,NASDAQ,listed_equity_issue,12.97299,14.698196,3.54,3.91,10.451977401129952,2297.0,,True,True,eligible,True,,0.25,641,3.8944,3.9528,3.8321,0.01,3.8555,0.35,903,3.8748,3.9329,3.8128,0.01,3.8361,0.4,1040,3.8435,3.9012,3.782,0.01,3.8051
2026-02-26,15:29:59 Europe/Berlin,1,BFLY,NYSE,listed_equity_issue,31.525006,35.887147,3.1,4.0,29.032258064516125,2106.0,,True,True,eligible,True,,0.25,627,3.984,4.0438,3.9203,0.01,3.9442,0.35,882,3.964,4.0235,3.9006,0.01,3.9244,0.4,1017,3.932,3.991,3.8691,0.01,3.8927
2026-02-26,15:29:59 Europe/Berlin,2,BGL,NASDAQ,listed_equity_issue,13.130225,17.54686,2.17,2.41,11.059907834101402,575.0,,True,True,eligible,True,,0.25,1041,2.4004,2.4364,2.362,0.01,2.3764,0.35,1465,2.3883,2.4241,2.3501,0.01,2.3644,0.4,1688,2.369,2.4045,2.3311,0.01,2.3453
2026-02-26,15:29:59 Europe/Berlin,3,JOBY,NYSE,listed_equity_issue,8.343722,9.909333,9.91,10.51,6.054490413723501,1127.0,,True,True,eligible,True,,0.25,238,10.468,10.625,10.3005,0.01,10.3633,0.35,336,10.4154,10.5716,10.2488,0.01,10.3112,0.4,387,10.3313,10.4863,10.166,0.01,10.228
2026-02-27,15:29:59 Europe/Berlin,1,BATL,AMEX,listed_equity_issue,24.126239,27.262208,4.18,5.07,21.29186602870814,6013.0,,True,True,eligible,True,,0.25,495,5.0497,5.1254,4.9689,0.01,4.9992,0.35,696,5.0244,5.0998,4.944,0.01,4.9742,0.4,802,4.9838,5.0586,4.9041,0.01,4.934
2026-03-02,15:29:59 Europe/Berlin,1,RLYB,NASDAQ,listed_equity_issue,30.313346,33.821695,7.56,9.67,27.910052910052908,1600.0,,True,True,eligible,True,,0.25,259,9.6313,9.7758,9.4772,0.01,9.535,0.35,365,9.583,9.7267,9.4297,0.01,9.4872,0.4,420,9.5056,9.6482,9.3535,0.01,9.4105
2026-03-02,15:29:59 Europe/Berlin,2,AGIG,AMEX,listed_equity_issue,27.749124,31.341759,4.21,5.28,25.415676959619972,1291.0,,True,True,eligible,True,,0.25,475,5.2589,5.3378,5.1748,0.01,5.2063,0.35,668,5.2325,5.311,5.1488,0.01,5.1802,0.4,770,5.1902,5.2681,5.1072,0.01,5.1383
2026-03-02,15:29:59 Europe/Berlin,3,ONDS,NASDAQ,listed_equity_issue,7.893723,10.650291,9.97,10.53,5.6168505516549505,1085.0,,True,True,eligible,True,,0.25,238,10.4879,10.6452,10.3201,0.01,10.383,0.35,335,10.4352,10.5917,10.2682,0.01,10.3308,0.4,386,10.351,10.5063,10.1854,0.01,10.2475
2026-03-03,15:29:59 Europe/Berlin,1,TMDE,AMEX,listed_equity_issue,15.080705,19.067095,3.05,3.44,12.786885245901637,1143.0,,True,True,eligible,True,,0.25,729,3.4262,3.4776,3.3714,0.01,3.3919,0.35,1026,3.409,3.4601,3.3545,0.01,3.3749,0.4,1182,3.3815,3.4322,3.3274,0.01,3.3477
2026-03-03,15:29:59 Europe/Berlin,2,PINS,NYSE,listed_equity_issue,7.791812,8.978878,17.475,18.48,5.751072961373382,525.0,,True,True,eligible,True,,0.25,135,18.4061,18.6822,18.1116,0.01,18.222,0.35,191,18.3137,18.5884,18.0207,0.01,18.1306,0.4,220,18.1658,18.4383,17.8751,0.01,17.9841
2026-03-06,15:29:59 Europe/Berlin,1,IBG,NASDAQ,listed_equity_issue,22.612171,26.449159,4.35,5.23,20.229885057471275,1500.0,,True,True,eligible,True,,0.25,479,5.2091,5.2872,5.1258,0.01,5.157,0.35,675,5.1829,5.2606,5.1,0.01,5.1311,0.4,778,5.1411,5.2182,5.0588,0.01,5.0897
2026-03-06,15:29:59 Europe/Berlin,2,INDO,AMEX,listed_equity_issue,19.812441,21.816993,5.3,6.23,17.547169811320764,1047.0,,True,True,eligible,True,,0.25,402,6.2051,6.2982,6.1058,0.01,6.143,0.35,566,6.1739,6.2665,6.0751,0.01,6.1122,0.4,653,6.1241,6.216,6.0261,0.01,6.0629
